source,dest,dist
19,"מתנ""ס נווה זאב",3.369411934211751
19,מתנס נווה נוי,4.807457561603019
20,"מתנ""ס לוין",2.1473761144969896
20,"מתנ""ס נירים",1.9348708319213908
20,"מתנ""ס נעורים",2.641442637802626
20,"מתנ""ס פאני קפלן",2.7228120417020816
20,"מתנ""ס טאובל",3.7240149015386463
20,"מתנ""ס - י'א",1.24796405682889
20,מרכז הצעירים,3.9691397642940984
20,"מתנ""ס רמות",2.9912977332124604
20,"מתנ""ס נווה זאב",3.389183457462253
20,מתנס נווה נוי,4.843522785322888
21,"מתנ""ס לוין",2.2077937657672417
21,"מתנ""ס נירים",2.0034651728199657
21,"מתנ""ס נעורים",2.7036653220760933
21,"מתנ""ס פאני קפלן",2.7917854049295494
21,"מתנ""ס טאובל",3.7805928984350596
21,"מתנ""ס - י'א",1.2019093520412234
21,מרכז הצעירים,3.9761708380517238
21,"מתנ""ס רמות",3.068421848314726
21,"מתנ""ס נווה זאב",3.3655824457451535
21,מתנס נווה נוי,4.8377419557929295
22,"מתנ""ס לוין",2.2882416127702307
22,"מתנ""ס נירים",2.095502807184278
22,"מתנ""ס נעורים",2.786324670834637
22,"מתנ""ס פאני קפלן",2.8840580271974363
22,"מתנ""ס טאובל",3.854848150473685
22,"מתנ""ס - י'א",1.1386726415260724
22,מרכז הצעירים,3.9816741894661383
22,"מתנ""ס רמות",3.1740769160941924
22,"מתנ""ס נווה זאב",3.329566035241132
22,מתנס נווה נוי,4.825248977121355
23,"מתנ""ס לוין",3.127003886660171
23,"מתנ""ס נירים",2.9654404145128597
23,"מתנ""ס נעורים",3.629698760199782
23,"מתנ""ס פאני קפלן",3.7533632553129
23,"מתנ""ס טאובל",4.662927033949476
23,"מתנ""ס - י'א",1.2413593016240998
23,מרכז הצעירים,4.400749331524752
23,"מתנ""ס רמות",4.023612857729064
23,"מתנ""ס נווה זאב",3.447576170692002
23,מתנס נווה נוי,5.097647949989839
24,"מתנ""ס לוין",2.3039908021211986
24,"מתנ""ס נירים",2.0993310463127703
24,"מתנ""ס נעורים",2.8000626829623547
24,"מתנ""ס פאני קפלן",2.887551874916546
24,"מתנ""ס טאובל",3.8758903606487207
24,"מתנ""ס - י'א",1.2026226180788577
24,מרכז הצעירים,4.037723948743792
24,"מתנ""ס רמות",3.1487872532819043
24,"מתנ""ס נווה זאב",3.393654373709787
24,מתנס נווה נוי,4.885946478652979
