Entrances,Not_reside,Used,floors,appartment,Name,Shape_Leng,Shape_Area
1,0,מגורים,2,4,,0.00084024916,0.00000002288
1,0,מגורים,2,4,,0.00087396581,0.00000002368
1,0,מגורים,2,8,,0.00059332266,0.00000001429
1,0,מגורים,2,8,,0.00060521685,0.00000001519
1,0,מגורים,2,8,,0.00063388248,0.00000001608
1,0,מגורים,2,4,,0.00070182790,0.00000001646
1,0,מגורים,2,4,,0.00080947457,0.00000002180
1,0,מגורים,2,4,,0.00077821792,0.00000002055
1,0,מגורים,2,4,,0.00086084563,0.00000002147
1,0,מגורים,2,4,,0.00083929174,0.00000002162
1,0,מגורים,2,4,,0.00092170881,0.00000002421
1,0,מגורים,2,4,,0.00073971980,0.00000002015
1,0,מגורים,2,4,,0.00062292259,0.00000001422
1,0,מגורים,2,4,,0.00073282559,0.00000001820
1,0,מגורים,2,4,,0.00089203380,0.00000002216
1,0,מגורים,2,4,,0.00091621799,0.00000002371
1,0,מגורים,2,4,,0.00092268696,0.00000002006
1,0,מגורים,2,4,,0.00077956131,0.00000001896
1,0,מגורים,2,4,,0.00083045910,0.00000002416
1,0,מגורים,2,4,,0.00083978395,0.00000002290
1,0,מגורים,2,8,,0.00065217589,0.00000001818
1,0,מגורים,2,8,,0.00046621774,0.00000001137
1,0,מגורים,2,8,,0.00046758257,0.00000001150
1,0,מגורים,2,8,,0.00055673454,0.00000001476
1,0,מגורים,2,8,,0.00055279666,0.00000001847
1,0,מגורים,2,8,,0.00065781037,0.00000001865
2,0,מגורים,2,2,,0.00083087235,0.00000002244
1,0,מגורים,2,8,,0.00065636686,0.00000001885
1,0,מגורים,2,4,,0.00083613999,0.00000002349
1,0,מגורים,2,8,,0.00066867544,0.00000001868
1,0,מגורים,2,4,,0.00074265061,0.00000002490
1,0,מגורים,2,8,,0.00064934797,0.00000001849
1,0,מגורים,2,8,,0.00065194105,0.00000001791
1,0,מגורים,2,4,,0.00071951922,0.00000001798
1,0,מגורים,2,4,,0.00081925408,0.00000002046
1,0,מגורים,2,4,,0.00074290999,0.00000001800
1,0,מגורים,2,8,,0.00065433728,0.00000001846
1,0,מגורים,2,4,,0.00082217280,0.00000002062
1,0,מגורים,2,4,,0.00080140166,0.00000002166
1,0,מגורים,2,8,,0.00068262128,0.00000001975
1,0,מגורים,2,4,,0.00067791931,0.00000001712
1,0,מגורים,2,4,,0.00079709586,0.00000002084
1,0,מגורים,2,4,,0.00084600203,0.00000002495
1,0,מגורים,2,4,,0.00072425828,0.00000002122
1,1,בית כנסת,2,0,,0.00070771048,0.00000002218
1,0,מגורים,2,4,,0.00062188315,0.00000002054
1,0,מגורים,2,4,,0.00068637072,0.00000001710
1,0,מגורים,2,4,,0.00068593680,0.00000001533
1,0,מגורים,2,4,,0.00079779383,0.00000001938
1,0,מגורים,2,4,,0.00076424336,0.00000002348
1,0,מגורים,2,4,,0.00069538161,0.00000001854
1,0,מגורים,2,4,,0.00084087273,0.00000002341
1,0,מגורים,2,4,,0.00082597970,0.00000002571
1,0,מגורים,2,4,,0.00083968385,0.00000002189
1,0,מגורים,2,8,,0.00063980444,0.00000001618
1,0,מגורים,2,8,,0.00057435766,0.00000001391
1,0,מגורים,2,8,,0.00057564684,0.00000001454
1,1,מסחרי,2,0,,0.00054560898,0.00000001703
1,0,מגורים,2,8,,0.00047163798,0.00000001182
1,0,מגורים,2,32,,0.00112731538,0.00000003690
1,0,מגורים,2,8,,0.00052003168,0.00000001684
1,0,מגורים,2,8,,0.00055865737,0.00000001927
1,0,מגורים,2,8,,0.00064066602,0.00000001779
1,0,מגורים,2,8,,0.00050415287,0.00000001383
1,0,מגורים,2,8,,0.00050000566,0.00000001375
1,0,מגורים,2,8,,0.00047353038,0.00000001170
2,0,מגורים,2,2,,0.00073414122,0.00000001920
1,0,מגורים,2,8,,0.00048306371,0.00000001451
1,1,מקלט,2,0,,0.00010739639,0.00000000069
1,0,מגורים,2,8,,0.00057840781,0.00000001406
1,0,מגורים,2,8,,0.00065877923,0.00000001710
1,0,מגורים,2,8,,0.00063340097,0.00000001624
1,0,מגורים,2,8,,0.00055200042,0.00000001323
1,0,מגורים,2,8,,0.00066068313,0.00000002236
1,0,מגורים,2,8,,0.00063769757,0.00000002062
1,0,מגורים,2,8,,0.00063369796,0.00000002063
1,0,מגורים,2,8,,0.00076859944,0.00000002931
2,0,מגורים,2,2,,0.00084998904,0.00000002440
1,0,מגורים,2,8,,0.00062396349,0.00000001748
1,0,מגורים,2,8,,0.00069377688,0.00000002187
1,0,מגורים,2,8,,0.00075687040,0.00000002614
1,0,מגורים,2,8,,0.00044354034,0.00000001083
1,0,מגורים,2,8,,0.00052951480,0.00000001724
1,0,מגורים,2,8,,0.00053547813,0.00000001692
1,1,מקלט,2,0,,0.00054855452,0.00000001150
1,0,מגורים,2,1,,0.00081820509,0.00000002887
1,0,מגורים,2,36,,0.00095640772,0.00000003621
4,4,מסחרי,2,0,,0.00068973260,0.00000002817
1,0,מגורים,2,8,,0.00057917869,0.00000001769
1,0,מגורים,2,8,,0.00058730047,0.00000001784
1,0,מגורים,2,8,,0.00071706413,0.00000002609
1,0,מגורים,2,8,,0.00059261697,0.00000001798
1,0,מגורים,2,8,,0.00058544302,0.00000001914
1,0,מגורים,2,8,,0.00058476050,0.00000001777
0,0,תחבורה,2,0,,0.00012072285,0.00000000077
1,0,מגורים,2,8,,0.00070458122,0.00000002545
1,0,מגורים,2,8,,0.00073568219,0.00000002866
1,0,מגורים,2,8,,0.00058863077,0.00000001804
1,0,מגורים,2,8,,0.00058828324,0.00000001794
1,0,מגורים,2,8,,0.00059007754,0.00000001803
1,0,מגורים,2,8,,0.00081489166,0.00000002185
1,0,מגורים,2,8,,0.00082903170,0.00000002249
0,0,תחבורה,2,0,,0.00010394168,0.00000000053
1,0,מגורים,2,8,,0.00059761095,0.00000001831
1,0,מגורים,2,36,,0.00095677959,0.00000003593
1,0,מגורים,2,8,,0.00074584791,0.00000002852
1,0,מגורים,2,6,,0.00059054286,0.00000001718
1,0,מגורים,2,6,,0.00054795120,0.00000001623
1,0,מגורים,2,6,,0.00054175903,0.00000001605
1,0,מגורים,2,6,,0.00064683751,0.00000002204
1,0,מגורים,2,6,,0.00063306882,0.00000001912
1,0,מגורים,2,6,,0.00061761437,0.00000001875
1,0,מגורים,2,6,,0.00048008452,0.00000001247
1,0,מגורים,2,6,,0.00063063995,0.00000002106
2,0,מגורים,2,2,,0.00089835447,0.00000002403
1,0,מגורים,2,6,,0.00062810362,0.00000002025
1,0,מגורים,2,6,,0.00067326778,0.00000002278
1,0,מגורים,2,6,,0.00055614298,0.00000001440
1,0,מגורים,2,6,,0.00059064076,0.00000001782
2,0,מגורים,2,12,,0.00089073218,0.00000002510
1,0,מגורים,2,6,,0.00050833773,0.00000001273
1,0,מגורים,2,6,,0.00070834995,0.00000001886
1,0,מגורים,2,6,,0.00066286494,0.00000001662
2,0,מגורים,2,2,,0.00079539587,0.00000002165
1,0,מגורים,2,1,,0.00037581617,0.00000000775
1,0,מגורים,2,1,,0.00038393170,0.00000000691
1,0,מגורים,2,1,,0.00049962136,0.00000000976
1,1,מקלט,2,0,,0.00015597058,0.00000000143
1,1,בית ספר,2,0,בי''ס ממ''ד רננות לבנות,0.00148532646,0.00000011462
1,1,גן ילדים,2,0,,0.00081885976,0.00000002140
1,1,בית ספר,2,0,בי''ס אחווה,0.00144712777,0.00000005698
1,1,מקלט,2,0,,0.00070162265,0.00000002070
1,0,מגורים,2,10,,0.00071316458,0.00000001869
1,0,מגורים,2,8,,0.00076242377,0.00000001759
1,0,מגורים,2,8,,0.00069149114,0.00000001839
1,0,מגורים,2,10,,0.00064370206,0.00000001483
1,0,מגורים,2,8,,0.00082991866,0.00000002241
1,0,גן ילדים,2,0,,0.00065899551,0.00000002062
1,0,מגורים,2,8,,0.00084362555,0.00000002622
1,0,מגורים,2,8,,0.00060355720,0.00000001795
1,0,מגורים,2,8,,0.00076834368,0.00000002190
1,0,מגורים,2,11,,0.00069418804,0.00000002295
1,0,מגורים,2,8,,0.00060943485,0.00000001904
1,0,מגורים,2,6,,0.00058996571,0.00000001884
1,0,מגורים,2,8,,0.00072223666,0.00000002142
1,0,מגורים,2,8,,0.00073804751,0.00000002013
1,0,מגורים,2,8,,0.00046942811,0.00000001069
1,0,מגורים,2,8,,0.00063122380,0.00000002034
1,0,מגורים,2,8,,0.00062531226,0.00000002015
1,0,מגורים,2,8,,0.00063358111,0.00000002042
1,0,מגורים,2,6,,0.00071183705,0.00000002293
1,0,מגורים,2,8,,0.00062249193,0.00000001839
1,0,מגורים,2,8,,0.00062037152,0.00000001827
1,0,מגורים,2,8,,0.00062348647,0.00000001844
1,0,בית כנסת,2,0,,0.00041270715,0.00000000802
1,0,מגורים,2,1,,0.00028434544,0.00000000426
1,0,מגורים,2,1,,0.00026858518,0.00000000410
1,0,מגורים,2,1,,0.00034776979,0.00000000546
1,1,קהילתי,2,0,,0.00125261759,0.00000009615
1,1,בית ספר,2,0,בי''ס אחווה,0.00100517882,0.00000003546
2,0,מגורים,2,4,,0.00023686107,0.00000000229
2,0,מגורים,2,4,,0.00060349324,0.00000001466
2,0,מגורים,2,4,,0.00013816827,0.00000000116
0,0,תחבורה,2,0,,0.00008133207,0.00000000039
0,0,תחבורה,2,0,,0.00010259294,0.00000000061
1,0,מגורים,2,21,,0.00097953188,0.00000003378
1,0,מגורים,2,16,,0.00118782766,0.00000004211
2,0,מגורים,2,2,,0.00041019009,0.00000000886
2,0,מגורים,2,2,,0.00055111378,0.00000001401
1,0,מגורים,2,1,,0.00046567275,0.00000001000
1,0,מגורים,2,1,,0.00083325405,0.00000002399
1,1,מסחרי,2,0,,0.00038169861,0.00000000618
1,1,שיקום ורווחה,2,0,,0.00100470784,0.00000003038
1,1,בית ספר,2,0,,0.00098992487,0.00000004212
0,0,תחבורה,2,0,,0.00011102960,0.00000000065
1,0,רפואה,2,0,,0.00038495968,0.00000000891
1,0,מגורים,2,8,,0.00070692492,0.00000002023
1,0,מגורים,2,8,,0.00068536493,0.00000001985
1,0,מגורים,2,8,,0.00051074192,0.00000001313
1,0,מגורים,2,8,,0.00060030845,0.00000002096
1,0,מגורים,2,8,שבט הצופים ניצני הנגב,0.00059641529,0.00000002137
1,0,מגורים,2,8,,0.00059051702,0.00000002094
1,0,מגורים,2,8,,0.00060108515,0.00000002105
1,0,מגורים,2,11,,0.00060774579,0.00000001886
1,0,מגורים,2,8,,0.00078756944,0.00000001873
2,2,גן ילדים,2,0,ספרייה תורנית לב המלכים,0.00069206876,0.00000002403
1,0,מגורים,2,6,,0.00057836503,0.00000001863
1,0,מגורים,2,6,,0.00052967389,0.00000001566
1,0,מגורים,2,8,,0.00069493077,0.00000001869
1,1,בית ספר,2,0,,0.00044116105,0.00000000922
1,0,מגורים,2,8,,0.00063357488,0.00000001855
1,0,מגורים,2,8,,0.00062647212,0.00000001889
1,0,מגורים,2,8,,0.00061410081,0.00000001827
1,0,מגורים,2,6,,0.00055901318,0.00000001715
