X,Y,Z,combined1,combined2,combined3,SpecialCom,Swing,slid,carrousel,spring,omega,roserose,other,shadowing,surface,Name,type
34.776937581,31.2449740980001,0,0,0,0,0,0,0,0,3,0,1,,אין,משטח חול,יריחו 31,כיס
34.7771080160001,31.243666707,0,0,1,0,0,0,0,0,1,0,1,,יש,משטח גומי,יריחו חדש,שכונתי
34.7760623630001,31.2446910150001,0,0,0,0,0,0,0,0,2,0,0,,אין,משטח חול,שד ירושלים 40 בית כנסת,כיס
34.7689202060001,31.2443954,0,1,0,0,0,0,0,0,1,0,0,יש חלק עם משטח חול,אין,משטח גומי,ממשית,
34.770385511,31.2480396650001,0,1,0,0,0,3,0,0,0,0,1,,יש,משטח גומי,עין גדי,שכונתי
34.769701271,31.245443429,0,0,1,0,0,0,0,1,2,0,0,1 -איקס עיגול,אין,משטח גומי,שיבטה,
34.7709628850001,31.245966491,0,0,0,1,0,0,0,0,0,0,0,2 -איקס עיגול וחשבוניה,אין,משטח חול,"שער הגיא ב""הס יובלים",שכונתי
34.776837184,31.24711847,0,0,0,0,0,2,0,1,1,0,0,"קרוסלה ריבו
8 שונות - אקסטרים וקיר טיפוס",יש,משטח גומי,גן שלושה חדש,שכונתי
34.777165134,31.2470730270001,0,0,0,0,0,2,0,0,0,0,0,קן לציפור,יש,משטח גומי,גן שלושה,שכונתי
34.76389355,31.2299249640001,0,1,0,0,0,3,0,0,1,0,0,,יש,משטח גומי,פשוש,
34.7640391310001,31.232065977,0,1,1,0,0,3,0,0,0,0,1,1- נדנדת סוס מחבל,,,צוקית,
34.7615965540001,31.230820329,0,1,0,0,0,0,0,0,0,0,0,,יש,משטח גומי,דיה,
34.773445377,31.2199292400001,0,0,0,1,0,2,0,0,1,0,0,,יש,משטח גומי,משה חובב חדש,
34.7764195080001,31.222950693,0,0,0,0,0,1,0,1,1,0,0,1,יש,משטח גומי,משה חובב 55 מקלט,
34.7780790320001,31.22402892,0,0,1,0,0,1,0,0,0,0,1,,אין,משטח גומי,פארק צנחנים,
34.774214026,31.2222656910001,0,1,0,0,0,4,0,0,2,0,0,2- פטריה וקיר טיפוס,אין,משטח גומי,גן פרטוש- חיים בן חיים,
34.776905103,31.223262597,0,0,0,0,0,0,0,0,2,0,1,,אין,משטח חול,זינדר מול חובב 64,
34.761256529,31.245608856,0,1,0,0,0,0,0,0,4,0,0,,אין,משטח חול,משה ולנסקי,
34.7719589860001,31.2712090100001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח חול,רודנסקי רובינא,
34.770028983,31.2699610330001,0,0,1,0,0,0,0,0,4,0,1,1- מתקן טיפוס פרמידת חבלים,אין,משטח גומי,רובינא מרכז מסחרי,
34.76646988,31.2668085930001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח חול,"אמנון ק""ח",כיס
34.761693725,31.2665560400001,0,2,0,0,0,0,0,0,2,0,1,,אין,משטח גומי,הארונסון,שכונתי
34.7590693940001,31.2588450820001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח גומי,פרופסור זאב ויניק,
34.7625176810001,31.2688226540001,0,0,0,0,0,2,0,0,0,0,0,2 - קן לציפור,אין,משטח גומי,אחינועם חווה רבקה קטן חדש,שכונתי
34.762758085,31.2688026,0,0,1,1,0,0,0,0,0,0,0,,אין,משטח גומי,אחינועם חווה רבקה,שכונתי
34.762884607,31.2690756690001,0,1,0,0,0,2,0,0,0,0,0,1 - סקייט,אין,משטח גומי,אחינועם חווה רבקה גדול,שכונתי
34.758209601,31.2667672160001,0,1,0,0,0,3,0,1,1,0,0,"7 - מתקן חצובה עם משטח שטוח
מתקן מסילה
תליה
בית בובות
פטר",יש,משטח גומי,שאול ואליהו לוזון חדש,שכונתי
34.776915279,31.2682474120001,0,1,0,0,0,2,0,0,2,0,0,,אין,משטח חול,אבוחצירה -מרדכי מקלף,שכונתי
34.78427014,31.2660342300001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח חול,מבצע ברוש,כיס
34.777195383,31.269884726,0,1,0,0,0,0,0,0,2,0,0,,אין,משטח חול,אקצין 28,כיס
34.777382695,31.270240906,0,1,1,0,0,0,0,0,0,0,0,,אין,משטח חול,אקצין 24,כיס
34.783708195,31.265050558,0,1,0,0,0,0,0,0,0,0,0,1 - מתקן סל,אין,משטח חול,מבצע ארז מעבר ציבורי,כיס
34.7779531520001,31.259411986,0,0,1,0,0,2,0,0,0,0,0,,אין,משטח גומי,פארק טייסים,כיס
34.7762198570001,31.2604464070001,0,0,1,0,0,0,0,0,3,0,0,,אין,משטח חול,מבצע עובדה 48,כיס
34.7811719860001,31.2649387810001,0,1,0,0,0,0,0,0,0,0,0,,אין,משטח חול,דורי ליד גן ציון,כיס
34.7788774420001,31.2623172260001,0,0,1,0,0,2,0,1,1,0,0,1 - גלגל רץ,אין,משטח חול,גדעון השופט,כיס
34.7759468880001,31.263562112,0,1,0,0,0,0,0,0,2,0,0,,אין,משטח חול,בן נון,כיס
34.7811755120001,31.259307305,0,0,1,1,0,3,0,0,0,0,0,נדנדה אחת היא קן לציפור,יש,משטח גומי,גן חביב,שכונתי
34.7713255470001,31.265523353,0,1,0,0,0,0,0,1,0,0,0,1 - דמות מכונית,אין,משטח גומי,שטיין 5,כיס
