X,Y,Z,Type,Name,street,HouseNumbe,neighborho,Operator,Seats,Activity,fencing,lighting,handicappe,handicap_1,yearOfEsta,condition,Owner,ForSchool,associatio,SportType
34.786134749,31.25374371,0,אצטדיון כדורגל – 105X70 מ',וסרמיל,יהודה הלוי,0.00000000000,ב',כיוונים,16000.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,"הפועל ומכבי ב""ש",כדורגל
34.8134994120001,31.253835614,0,מגרש כדורגל – 45X90 מ',טאובל,בן גוריון,0.00000000000,ג',כיוונים,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.812797157,31.2555895850001,0,מגרש טניס,טאובל,בן גוריון,0.00000000000,ג',כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.780322917,31.2444330060001,0,בריכת שחיה - 20X50 מ',בית החייל,בית לחם,2.00000000000,ט',בית החייל,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7807473080001,31.2444304850001,0,מגרש כדורסל – 19X32 מ',בית החייל,בית לחם,2.00000000000,ט',בית החייל,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7804257500001,31.2449077380001,0,אחר: מתקן ספורט כללי,בית החייל,בית לחם,2.00000000000,ט',בית החייל,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7848002910001,31.242645757,0,בריכת שחיה - 25X12.5 מ',בית יציב,העצמאות,79.00000000000,ט',בית יציב,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.793128854,31.2463267840001,0,מגרש כדורסל – 19X32 מ',בר אילן- מוריה,מנדלי מוכר ספרים,0.00000000000,א',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7588432090001,31.2645576210001,0,מגרש כדורסל – 19X32 מ',היובל,המלכים,10.00000000000,נחל עשן,ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7778627480001,31.2413997630001,0,מתקן פתוח לכושר גופני,נווה זאב,,0.00000000000,נווה זאב,כיוונים,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,כושר
34.787205353,31.2572978100001,0,מגרש טניס,מרכז הטניס הישראלי,,0.00000000000,,מרכז הטניס,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.7894394250001,31.2476257210001,0,מגרש טניס,מרכז הטניס שכונה א',,0.00000000000,,מרכז הטניס,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.8043455150001,31.2548115290001,0,מגרש כדורסל – 19X32 מ',נטעים,גולומב,0.00000000000,ג',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נטעים,,
34.8041341050001,31.2545999880001,0,אולם ספורט קטן – 20x10 מ',נטעים,גולומב,0.00000000000,ג',ניהול עצמי,0.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,נטעים,,
34.774265493,31.2707561290001,0,"4 מגרש כדורגל – 45X90 מ' דשא טיבעי
1 מגרש כדורגל 45X90 מ' דשא סינטטי",5 מגרשי כדורגל פיקה,הצדיק מירושלים,1.00000000000,נחל עשן,כיוונים,1000.00000000000,בתיאום בלבד,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,"אגודות  הפועל, בית""ר ומכבי",כדורגל
34.7709589610001,31.2446956960001,0,מגרש כדורסל – 19X32 מ',יובלים,שבטה,0.00000000000,ט',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,אין תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,,,
34.775971251,31.25222095,0,מגרש כדורסל – 19X32 מ',אילנות,בורלא יהודה,19.00000000000,ה',ניהול עצמי,0.00000000000,פתוח ללא הגבלה,קיים גידור,קיימת תאורה,נגיש לנכים,חניה קיימת,,תקין ופעיל,עיריית באר שבע,אילנות,,
