X,Y,Z,Name,type,oldName
34.7837657800001,31.260360572,0,תומר,בית ספר,
34.7882946550001,31.243920599,0,בארי,בית ספר,
34.788449744,31.254949562,0,נתיבות-יורם,בית ספר,
34.7591897820001,31.2650637030001,0,היובל,בית ספר,
34.7648978190001,31.268560657,0,נווה מנחם,בית ספר,
34.7695617860001,31.2636596460001,0,נווה במדבר,בית ספר,
34.7910938680001,31.2699284980001,0,אלומות,בית ספר,
34.799552867,31.2682674530001,0,אמירים,בית ספר,
34.80496077,31.2552194630001,0,נטעים,בית ספר,
34.804097309,31.2735452970001,0,רמות,בית ספר,
34.8103079370001,31.269360529,0,בן גוריון,בית ספר,
34.776551474,31.243739217,0,אשכול,בית ספר,
34.7888630030001,31.263605748,0,מצפה,בית ספר,
34.8057312110001,31.284189686,0,רכסים,בית ספר,
34.7980012370001,31.2853139170001,0,הרצוג,בית ספר,
34.768706562,31.235897741,0,מקיף רגר,על יסודי,
34.7737706450001,31.2370256350001,0,נווה שלום,בית ספר,
34.7772989330001,31.2379092900001,0,יחדיו,בית ספר,
34.7825026190001,31.2404976440001,0,גאולים,בית ספר,
34.7725656600001,31.24740468,0,נתיבי עם,בית ספר,
34.7831407510001,31.256895587,0,מקיף ג,על יסודי,
34.784811581,31.2352676470001,0,בית יעקב,בית ספר,
34.7896925470001,31.2302936340001,0,מענית,בית ספר,
34.792567557,31.2308996150001,0,שורשים,בית ספר,
34.7868856850001,31.2479315940001,0,רננות,בית ספר,
34.792141718,31.2511495530001,0,מקיף ח,על יסודי,
34.7919647310001,31.2528075480001,0,עמל,על יסודי,
34.784188756,31.2572485800001,0,דקלים,בית ספר,
34.788267767,31.257843554,0,יסודות,בית ספר,
34.7930746850001,31.2467445610001,0,מוריה,בית ספר,
34.7923207900001,31.259980523,0,משכן מאיר,בית ספר,
34.761380774,31.263689694,0,מקיף טוביהו,על יסודי,
34.772493786,31.26313063,0,רעים,בית ספר,
34.773727792,31.2636296210001,0,מאיר,בית ספר,
34.7818508460001,31.268908556,0,שובו,בית ספר,
34.783393846,31.2686225470001,0,מגן,בית ספר,
34.7871498280001,31.2657255350001,0,מקיף ה,על יסודי,
34.7912988050001,31.261956522,0,חבד - עוזיאל,בית ספר,
34.7912428440001,31.2669025060001,0,שחר,בית ספר,
34.7891868840001,31.272249501,0,ישיבת בני עקיבא,על יסודי,
34.791775193,31.270327052,0,בית יעקב ד',בית ספר,
34.7998058380001,31.264660463,0,עץ חיים,בית ספר,
34.794935879,31.270653473,0,קארו,בית ספר,
34.8020127350001,31.251384493,0,בית הפקיד תלם,על יסודי,
34.808166731,31.2497304620001,0,דגניה,בית ספר,
34.8012697630001,31.2549904860001,0,מקיף ב'- אולפנת אמית,על יסודי,
34.808135758,31.253163451,0,חזון עובדיה,בית ספר,
34.8032832050001,31.2697349,0,מקיף ז,על יסודי,
34.8031704590001,31.2708369900001,0,אפיקים בנגב,בית ספר,
34.773210481,31.2484036160001,0,מקיף ו,על יסודי,
34.7705608470001,31.2560524290001,0,אולפנא בני עקיבא,על יסודי,
34.7560935450001,31.2548232840001,0,טכני חיל האויר,על יסודי,
34.7827619880001,31.2671686350001,0,בנות חייל,בית ספר,
