X,Y,Z,neighborho,street,HouseNumbe,Name,OtherName
34.7958170370001,31.271906906,0,ד,גבאי,1,בית כנסת ברית שלום,ברית שלום
34.794743968,31.271597356,0,ד,גבאי,15,בית כנסת אהל משה,אהל משה ומצליח בידו
34.7933914130001,31.2710976830001,0,ד,גבאי,33,,"חללי צה""ל"
34.795585896,31.269535381,0,ד,המכתשים,40,,תפארת ישראל
34.796596494,31.2686947280001,0,ד,סוכות,8,,אור מאיר חי
34.793673734,31.2685141,0,ד,אברהם אבינו,48,,שערי רחמים
34.7968261820001,31.268619905,0,ד,כיכר רחבים,2,"בית כנסת ""מרדכי הצדיק""",מרדכי הצדיק
34.7968104340001,31.2683791260001,0,ד,כיכר רחבים,2,מקלט,עזרא הסופר
34.7946906270001,31.268295386,0,ד,המכתשים,1,דליה- גן ילדים לשעבר,אור אבנר
34.7941909130001,31.267515814,0,ד,פארן,7,,הרב דוד כהן הספרדי
34.7943936080001,31.2672671350001,0,ד,פארן,10,,מגן דוד
34.7955793670001,31.2671897450001,0,ד,יוטבתה,3,,
34.79381614,31.267165064,0,ד,אברהם אבינו,40,,
34.794268908,31.2669955970001,0,ד,פארן,10,,אהבת ישראל
34.7966607980001,31.2664281940001,0,ד,הנבטים,8,,הדיגת
34.7952125960001,31.2663874140001,0,ד,הורקנוס,39,,בית יוסף
34.796173895,31.2653440340001,0,ד,הנבטים,2,,מנחת יעקב
34.793965518,31.2653988710001,0,ד,אברהם אבינו,28,,
34.794505971,31.2653847600001,0,ד,הורקנוס,17,,ברכת כוהנים
34.794622111,31.2653912490001,0,ד,הורקנוס,21,,"ע""ש רבי חי טייב"
34.7986181410001,31.268893188,0,ד,רינגנבלום,53,,מחזיקי הדת
34.798796462,31.2681665590001,0,ד,רגר,140,היכלי שלמה,היכל שלמה
34.7908125480001,31.271053567,0,ד,סנהדרין,80,בית כנסת בית יצחק- שכונה ד',שערי שלום
34.792768767,31.2707675840001,0,ד,שפרינצק,13,בית כנסת ד' צפון,זכור לאברהם
34.79294107,31.2692059390001,0,ד,הקנאים,32,מקלט,
34.789272678,31.2686866710001,0,ד,"רש""י",118,,עוסקי תורה
34.788905706,31.268666991,0,ד,"רש""י",11,,אהבת שלום
