"type","crs__type","crs__properties__name","features__type","features__properties__MainFeatur","features__geometry__type","features__geometry__coordinates__001","features__geometry__coordinates__002"
"","","","Feature","מערות קטנות בסלע עם מחילות בע""ח- 4 על 2 מטר","Point","3870947.489341968204826","3668281.180780726484954"
"","","","Feature","חורשת אלות אטלנטיות","Point","3876423.095302672125399","3667598.455146577209234"
"","","","Feature","מערה קטנה","Point","3872692.652018080931157","3666533.978945972397923"
"","","","Feature","קדד נאה, שמשון הדור","Point","3876830.508817314170301","3671568.863965461496264"
"","","","Feature","ריכוז אטדים","Point","3871626.953413091599941","3659090.825327240861952"
"","","","Feature","חישת קנים ומלוח קיפח, לא זוהו מים על פני השטח","Point","3868614.733811347279698","3666463.728326535783708"
"","","","Feature","אתר קינון אנפיות בקר - מושבה גדולה","Point","3874142.09402066282928","3664621.08688584389165"
"","","","Feature","זרימת מים בערוץ נחל עשן","Point","3869641.18221055297181","3670439.750162582844496"
"","","","Feature","ריכוז פריחה קטן של סתוונית הנגב וכלנית מצויה","Point","3876591.95113153103739","3664404.981959659606218"
"","","","Feature","משטח סלע בערוץ הנחל","Point","3867355.731287077069283","3662727.425843040458858"
"","","","Feature","עץ תמר קטן","Point","3866868.555437940638512","3666341.960293618496507"
"","","","Feature","אירוס שחום, ריכוז בן-חצב מדברי","Point","3875896.983506496530026","3667503.934245633427054"
"","","","Feature","בתרונות לס לא מפותחים","Point","3868011.264195858500898","3662617.088477838784456"
"","","","Feature","עץ שיטה סלילנית וותיק","Point","3868334.463665884919465","3667805.804503929801285"
"","","","Feature","שיח אשל","Point","3867990.494928178843111","3662809.205151009373367"
"","","","Feature","לענת המדבר","Point","3870018.386798661202192","3671148.288632858078927"
"","","","Feature","שיטה סלילנית","Point","3867877.892706973943859","3667974.210970096290112"
"","","","Feature","ריכוז חצבים","Point","3873246.652102324180305","3659006.230434129945934"
"","","","Feature","שיטה סלילנית","Point","3867252.097511176485568","3660563.736665703356266"
"","","","Feature","ריכוז אירוס שחום- 30 פרטים","Point","3876067.185432666912675","3667078.922233784105629"
"","","","Feature","ריכוז אירוס שחום- 20+ פרטים, 20 על 20 מטר","Point","3874924.849270945880562","3671658.423411705065519"
"","","","Feature","עץ שיזף מצוי וותיק","Point","3867391.750793686136603","3668626.779927268158644"
"","","","Feature","עץ פיקוס התאנה","Point","3874850.275577738881111","3672936.136164222843945"
"","","","Feature","קנים, אשלים, טבק השיח","Point","3870636.373837294522673","3662333.048688133247197"
"","","","Feature","עצי ברוש קטן- 5 פרטים","Point","3872178.648755050264299","3669625.556886010803282"
"","","","Feature","ריכוז נורית אסיה- אלפי פרטים, 100 על 30 מטר","Point","3870014.10002132691443","3672308.587733997497708"
"","","","Feature","עץ שיזף מצוי","Point","3868488.333380020689219","3668722.111313060857356"
"","","","Feature","בור בעומק 3 מ'","Point","3877561.877823467832059","3666150.862490959931165"
"","","","Feature","ריכוז מרשים של שמשון הדור. זמזומית מצויה","Point","3876002.514455521479249","3671273.9169498430565"
"","","","Feature","סכר הרוס בנוי בנחל עם מאורות שועלים סמוכות","Point","3875862.918058250099421","3670318.201946346554905"
"","","","Feature","ריכוז שום הלענה","Point","3872312.607262026052922","3666052.415683567058295"
"","","","Feature","ריכוז עירית גדולה","Point","3869480.342483877204359","3670687.99542735889554"
"","","","Feature","מחשופי סלע לבן בפיתולי נחל פטיש","Point","3869297.849130411166698","3672833.639530424028635"
"","","","Feature","ארבעה עצי אורן - פינת ""זולה"" ופסולת","Point","3868264.493929808493704","3666613.113779880106449"
"","","","Feature","בור מים בנוי עם מערכת תעלות","Point","3868647.185645472723991","3668136.484708953183144"
"","","","Feature","חרבת בתר, אתר מן התקופה הכלקוליתי","Point","3872279.975431269966066","3662794.165778356138617"
"","","","Feature","מעט קדד נאה","Point","3876313.429780985228717","3669731.162040614522994"
"","","","Feature","ריכוז גיאופיטים- כלניות- אלפי פרטים, 100 על 20 מטר","Point","3868803.405947491526604","3669657.684551358688623"
"","","","Feature","ריכוז אירוס שחום- 100+ פרטים, 100 על 50 מטר","Point","3873911.76007589045912","3673079.077260295394808"
"","","","Feature","שקע סגור ולח יחסית - כוכב, יפרוק המדבר","Point","3869680.569191644433886","3658355.563527897000313"
"","","","Feature","תצפית","Point","3878665.833203302696347","3673033.803332617972046"
"","","","Feature","ריכוז דליל של שלהבית קיצרת-שיניים","Point","3875131.85018116934225","3670484.746257398277521"
"","","","Feature","ריכוז נוריות וצבעונים- מאות אלפי פרטים, 300 על 100 מטר","Point","3875326.734808511566371","3672517.833119378425181"
"","","","Feature","מאורות","Point","3878522.342482942156494","3664596.250988722778857"
"","","","Feature","צבעונים ושמשון הדור","Point","3877867.449914598371834","3671024.442034888081253"
"","","","Feature","שום קולמן - כעשרה פרטים","Point","3872368.489660058636218","3666290.330096787773073"
"","","","Feature","שום אשרסון","Point","3875872.938528018072248","3671709.826198279857635"
"","","","Feature","עץ תאנה","Point","3878976.080722666345537","3662502.087816733401269"
"","","","Feature","עצי שיזף מצוי- 2 פרטים","Point","3868632.071676982101053","3669661.590652897488326"
"","","","Feature","ריכוז קדד נאה- עשרות פרטים, 20 על 20 מטר. יש גם ציפורן יהודה.","Point","3876299.743560103233904","3669798.071859"
"","","","Feature","סכר ומאחוריו בריכה עונתית","Point","3869129.315089695621282","3658833.18154290644452"
"","","","Feature","ריכוז דליל של שלהבית קיצרת-שיניים","Point","3875468.281398808117956","3670103.122858301270753"
"","","","Feature","לימן עם זיתים ותאנים","Point","3874581.551680501550436","3672960.619843653868884"
"","","","Feature","עץ זית אירופי","Point","3870776.103273909538984","3668217.284327691420913"
"","","","Feature","עץ חרוב וותיק","Point","3874282.839161664713174","3671885.591843601781875"
"","","","Feature","שום קולמן","Point","3868655.205453717149794","3662314.366060441359878"
"","","","Feature","אתר פריחה - צבעונים, שמשונים, נוריות, שלהבית קיצרת-שיניים","Point","3876064.074168462771922","3671275.349876285996288"
